Moeda,Valor
1,,Bitcoin,BTC,"39.000,7","$764,60B","$31,31B","43,50%","-4,16%","-9,01%"
2,,Ethereum,ETH,"2.234,68","$268,00B","$14,61B","20,29%","-6,12%","-11,97%"
3,,Tether USDt,USDT,"0,9999","$94,85B","$51,92B","72,14%","-0,01%",0%
4,,BNB,BNB,"297,2","$44,39B","$1,00B","1,39%","-5,05%","-6,59%"
5,,Solana,SOL,"80,12","$35,16B","$2,90B","4,02%","-8,66%","-16,40%"
6,,XRP,XRP,"0,5083","$27,64B","$1,32B","1,83%","-4,22%","-11,51%"
7,,USDC,USDC,"1,0008","$25,62B","$7,12B","9,90%",0%,"-0,02%"
8,,Lido Staked ETH,stETH,"2.224,49","$20,77B","$66,21M","0,09%","-6,40%","-12,28%"
9,,Cardano,ADA,"0,4598","$16,20B","$503,26M","0,70%","-6,36%","-14,40%"
10,,Dogecoin,DOGE,"0,077209","$11,03B","$682,76M","0,95%","-6,15%","-5,82%"
